HS Thickness (mm),LS Thickness (mm),Selective Layer Thickness (mm),Total Thickness (mm),HS Conductivity (S/m),LS Conductivity (S/m),CS Conductivity (S/m),AS Conductivity (S/m),CS Fixed Charge (mol m-3),AS Fixed Charge (mol m-3),Combined Parameter B (mol m-3),HS Concentration (mol m-3),LS Concentration (mol m-3),Combined Parameter A (mol m-3),Cation Transference Number,Charge Transfer Resistance (ohms),Current Density (A),,Capacity Retention D1D2,Capacity Retention D1D5,Capacity Retention D2D10,Coulombic Efficiency C1D2,Coulombic Efficiency C5D6,Coulombic Efficiency C9D10,Voltage Efficiency C1D2,Voltage Efficiency C5D6,Voltage Efficiency C9D10,Energy Efficiency C1D2,Energy Efficiency C5D6,Energy Efficiency C9D10,Maximum Potential D1 (V),Discharge Duration D1 (h),Average Power Density D1 (W m-3),Maximum Power Density D1 (W m-3),Energy Density D1 (Wh m-3)
5.4,0.9,0.18,12.06,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.577194403,0.474268532,0.72831096,1.50589293,1.19841454,1.170550197,0.222663106,0.219343232,0.214985104,0.335306797,0.262864119,0.251650856,0.198665994,86.47,0.516469984,3.236766275,44.64773328
5.4,0.9,0.9,13.5,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.594612003,0.498549709,0.76031362,1.583887723,1.203886359,1.150250693,0.213493523,0.218022845,0.216311711,0.33814977,0.262474729,0.248812695,0.206941657,60.05,0.47425501,3.011960457,28.46833232
5.4,0.9,1.8,15.3,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.590772317,0.511176644,0.79966504,1.259828306,1.26892173,1.125461786,0.249680045,0.210570409,0.219777709,0.314553988,0.267197367,0.247351413,0.206600238,39.88,0.465168395,2.653227558,18.54198049
5.4,1.8,0.18,12.96,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.581054072,0.486579078,0.762206252,1.289289976,1.060115117,1.128566556,0.245999942,0.236103698,0.219922094,0.31716526,0.250297099,0.24819672,0.188192614,66.18,0.487016221,2.853203086,32.22095889
5.4,1.8,0.9,14.4,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.589820411,0.508004269,0.789441106,1.283056922,1.163836274,1.143009937,0.246138154,0.222703364,0.216994133,0.315809262,0.259190253,0.248026451,0.196468332,46.85,0.466357979,2.680804709,21.83979011
5.4,1.8,1.8,16.2,8.12,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.597855704,0.516070028,0.792441903,1.443216246,1.204043546,1.006532004,0.223620971,0.217114855,0.237012382,0.322733418,0.26141574,0.238560548,0.196126602,32.21,0.479555121,2.378792722,15.43906907
1.8,1.8,1.8,9,1,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.271250692,0.207266012,0.733619537,0.626616448,0.948043603,1.05971154,0.261873998,0.230199853,0.21580067,0.164094555,0.218239498,0.228686461,0.193506209,11.67,1.372786763,4.224618615,16.01220791
1.8,1.8,1.8,9,1.78,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.331353013,0.28751825,0.838266005,0.738276938,0.992286039,1.12947618,0.254297101,0.234687027,0.210821542,0.187741685,0.23287666,0.23811791,0.195945689,8.92,1.383967886,4.277877236,12.33663036
1.8,1.8,1.8,9,3.16,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.416990016,0.379597509,0.865981665,0.891227479,1.142055789,1.069342512,0.246851249,0.216261222,0.222076562,0.220000617,0.246982381,0.237475909,0.196746509,7.12,1.355890981,4.295360692,9.645209787
1.8,1.8,1.8,9,5.62,0.0172,0.746,0.624,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.507631636,0.450857538,0.84381548,1.15759618,1.195146511,1.102352755,0.221448983,0.212720063,0.220661188,0.256348497,0.254231641,0.243246469,0.197360277,6.12,1.283204772,4.308760439,7.843684642
